date,day_of_week,title,category,type
2023-05-23,Tuesday,Microsoft Fabric Announced at Build 2023: A New Era of Unified Analytics,Announcement,Milestone
2023-05-24,Wednesday,OneLake: The OneDrive for Data - What Fabric Developers Need to Know,Announcement,Milestone
2023-05-25,Thursday,Fabric Public Preview: Getting Started with Your First Lakehouse,Announcement,Milestone
2023-05-26,Friday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2023-05-27,Saturday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2023-05-28,Sunday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2023-05-29,Monday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2023-05-30,Tuesday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2023-05-31,Wednesday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2023-06-01,Thursday,Microsoft Fabric June 2023 Update: First Monthly Feature Summary,Monthly Update,Milestone
2023-06-02,Friday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2023-06-03,Saturday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2023-06-04,Sunday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2023-06-05,Monday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2023-06-06,Tuesday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2023-06-07,Wednesday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2023-06-08,Thursday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2023-06-09,Friday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2023-06-10,Saturday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2023-06-11,Sunday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2023-06-12,Monday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2023-06-13,Tuesday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2023-06-14,Wednesday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2023-06-15,Thursday,Data Factory in Microsoft Fabric: Dataflows Gen2 Deep Dive,Feature Release,Milestone
2023-06-16,Friday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2023-06-17,Saturday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2023-06-18,Sunday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2023-06-19,Monday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2023-06-20,Tuesday,Power BI Composite Models with OneLake,Power BI,Educational
2023-06-21,Wednesday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2023-06-22,Thursday,Workspace Administration: Roles and Permissions,Administration,Educational
2023-06-23,Friday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2023-06-24,Saturday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2023-06-25,Sunday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2023-06-26,Monday,Fabric REST APIs: Automating Administration,DevOps,Educational
2023-06-27,Tuesday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2023-06-28,Wednesday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2023-06-29,Thursday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2023-06-30,Friday,Migrating from Azure Synapse to Fabric,Migration,Educational
2023-07-01,Saturday,Microsoft Fabric July 2023 Feature Summary,Monthly Update,Milestone
2023-07-02,Sunday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2023-07-03,Monday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2023-07-04,Tuesday,Row-Level Security in Fabric Semantic Models,Security,Educational
2023-07-05,Wednesday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2023-07-06,Thursday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2023-07-07,Friday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2023-07-08,Saturday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2023-07-09,Sunday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2023-07-10,Monday,Real-Time Analytics in Fabric: KQL Database First Look,Feature Release,Milestone
2023-07-11,Tuesday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2023-07-12,Wednesday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2023-07-13,Thursday,Snowflake Mirroring in Fabric,Integration,Educational
2023-07-14,Friday,Spark Structured Streaming in Fabric,Advanced,Educational
2023-07-15,Saturday,Custom Connectors in Data Factory,Advanced,Educational
2023-07-16,Sunday,Fabric Workload Development Kit,Advanced,Educational
2023-07-17,Monday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2023-07-18,Tuesday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2023-07-19,Wednesday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2023-07-20,Thursday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2023-07-21,Friday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2023-07-22,Saturday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2023-07-23,Sunday,Top Fabric Community Resources for Developers,Community,Educational
2023-07-24,Monday,Fabric User Groups: Connecting with Peers,Community,Educational
2023-07-25,Tuesday,Contributing to Fabric Open Source Projects,Community,Educational
2023-07-26,Wednesday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2023-07-27,Thursday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2023-07-28,Friday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2023-07-29,Saturday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2023-07-30,Sunday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2023-07-31,Monday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2023-08-01,Tuesday,Microsoft Fabric August 2023 Feature Summary,Monthly Update,Milestone
2023-08-02,Wednesday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2023-08-03,Thursday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2023-08-04,Friday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2023-08-05,Saturday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2023-08-06,Sunday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2023-08-07,Monday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2023-08-08,Tuesday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2023-08-09,Wednesday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2023-08-10,Thursday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2023-08-11,Friday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2023-08-12,Saturday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2023-08-13,Sunday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2023-08-14,Monday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2023-08-15,Tuesday,SSD Caching in Synapse Data Warehouse: Performance Breakthrough,Feature Release,Milestone
2023-08-16,Wednesday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2023-08-17,Thursday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2023-08-18,Friday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2023-08-19,Saturday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2023-08-20,Sunday,Python Support in KQL: Running Python in Real-Time Analytics,Feature Release,Milestone
2023-08-21,Monday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2023-08-22,Tuesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2023-08-23,Wednesday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2023-08-24,Thursday,Power BI Composite Models with OneLake,Power BI,Educational
2023-08-25,Friday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2023-08-26,Saturday,Workspace Administration: Roles and Permissions,Administration,Educational
2023-08-27,Sunday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2023-08-28,Monday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2023-08-29,Tuesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2023-08-30,Wednesday,Fabric REST APIs: Automating Administration,DevOps,Educational
2023-08-31,Thursday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2023-09-01,Friday,Microsoft Fabric September 2023 Feature Summary,Monthly Update,Milestone
2023-09-02,Saturday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2023-09-03,Sunday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2023-09-04,Monday,Migrating from Azure Synapse to Fabric,Migration,Educational
2023-09-05,Tuesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2023-09-06,Wednesday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2023-09-07,Thursday,Row-Level Security in Fabric Semantic Models,Security,Educational
2023-09-08,Friday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2023-09-09,Saturday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2023-09-10,Sunday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2023-09-11,Monday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2023-09-12,Tuesday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2023-09-13,Wednesday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2023-09-14,Thursday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2023-09-15,Friday,"Lakehouse Improvements: Tables, Files, and Shortcuts",Feature Release,Milestone
2023-09-16,Saturday,Snowflake Mirroring in Fabric,Integration,Educational
2023-09-17,Sunday,Spark Structured Streaming in Fabric,Advanced,Educational
2023-09-18,Monday,Custom Connectors in Data Factory,Advanced,Educational
2023-09-19,Tuesday,Fabric Workload Development Kit,Advanced,Educational
2023-09-20,Wednesday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2023-09-21,Thursday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2023-09-22,Friday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2023-09-23,Saturday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2023-09-24,Sunday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2023-09-25,Monday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2023-09-26,Tuesday,Top Fabric Community Resources for Developers,Community,Educational
2023-09-27,Wednesday,Fabric User Groups: Connecting with Peers,Community,Educational
2023-09-28,Thursday,Contributing to Fabric Open Source Projects,Community,Educational
2023-09-29,Friday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2023-09-30,Saturday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2023-10-01,Sunday,Microsoft Fabric October 2023 Feature Summary,Monthly Update,Milestone
2023-10-02,Monday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2023-10-03,Tuesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2023-10-04,Wednesday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2023-10-05,Thursday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2023-10-06,Friday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2023-10-07,Saturday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2023-10-08,Sunday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2023-10-09,Monday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2023-10-10,Tuesday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2023-10-11,Wednesday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2023-10-12,Thursday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2023-10-13,Friday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2023-10-14,Saturday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2023-10-15,Sunday,Microsoft Fabric Roadmap Published: Track Every Feature,Announcement,Milestone
2023-10-16,Monday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2023-10-17,Tuesday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2023-10-18,Wednesday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2023-10-19,Thursday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2023-10-20,Friday,Delta Lake to Iceberg: OneLake Compatibility Preview,Feature Release,Milestone
2023-10-21,Saturday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2023-10-22,Sunday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2023-10-23,Monday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2023-10-24,Tuesday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2023-10-25,Wednesday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2023-10-26,Thursday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2023-10-27,Friday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2023-10-28,Saturday,Power BI Composite Models with OneLake,Power BI,Educational
2023-10-29,Sunday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2023-10-30,Monday,Workspace Administration: Roles and Permissions,Administration,Educational
2023-10-31,Tuesday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2023-11-01,Wednesday,Microsoft Fabric November 2023 Feature Summary,Monthly Update,Milestone
2023-11-02,Thursday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2023-11-03,Friday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2023-11-04,Saturday,Fabric REST APIs: Automating Administration,DevOps,Educational
2023-11-05,Sunday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2023-11-06,Monday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2023-11-07,Tuesday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2023-11-08,Wednesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2023-11-09,Thursday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2023-11-10,Friday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2023-11-11,Saturday,Row-Level Security in Fabric Semantic Models,Security,Educational
2023-11-12,Sunday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2023-11-13,Monday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2023-11-14,Tuesday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2023-11-15,Wednesday,Microsoft Fabric is Generally Available: Ignite 2023 Announcements,Announcement,Milestone
2023-11-16,Thursday,Fabric GA: What Changed from Preview to Production,Announcement,Milestone
2023-11-17,Friday,Microsoft Purview Integration with Fabric: Governance at Scale,Feature Release,Milestone
2023-11-18,Saturday,Fabric Capacity and SKU Guide: Choosing the Right Size,Announcement,Milestone
2023-11-19,Sunday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2023-11-20,Monday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2023-11-21,Tuesday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2023-11-22,Wednesday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2023-11-23,Thursday,Snowflake Mirroring in Fabric,Integration,Educational
2023-11-24,Friday,Spark Structured Streaming in Fabric,Advanced,Educational
2023-11-25,Saturday,Custom Connectors in Data Factory,Advanced,Educational
2023-11-26,Sunday,Fabric Workload Development Kit,Advanced,Educational
2023-11-27,Monday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2023-11-28,Tuesday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2023-11-29,Wednesday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2023-11-30,Thursday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2023-12-01,Friday,Microsoft Fabric December 2023 Feature Summary,Monthly Update,Milestone
2023-12-02,Saturday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2023-12-03,Sunday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2023-12-04,Monday,Top Fabric Community Resources for Developers,Community,Educational
2023-12-05,Tuesday,Fabric User Groups: Connecting with Peers,Community,Educational
2023-12-06,Wednesday,Contributing to Fabric Open Source Projects,Community,Educational
2023-12-07,Thursday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2023-12-08,Friday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2023-12-09,Saturday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2023-12-10,Sunday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2023-12-11,Monday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2023-12-12,Tuesday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2023-12-13,Wednesday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2023-12-14,Thursday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2023-12-15,Friday,OneLake Shortcuts: Connecting to External Data Sources,Feature Release,Milestone
2023-12-16,Saturday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2023-12-17,Sunday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2023-12-18,Monday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2023-12-19,Tuesday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2023-12-20,Wednesday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2023-12-21,Thursday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2023-12-22,Friday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2023-12-23,Saturday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2023-12-24,Sunday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2023-12-25,Monday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2023-12-26,Tuesday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2023-12-27,Wednesday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2023-12-28,Thursday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2023-12-29,Friday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2023-12-30,Saturday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2023-12-31,Sunday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2024-01-01,Monday,Microsoft Fabric January 2024 Feature Summary,Monthly Update,Milestone
2024-01-02,Tuesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2024-01-03,Wednesday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2024-01-04,Thursday,Power BI Composite Models with OneLake,Power BI,Educational
2024-01-05,Friday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2024-01-06,Saturday,Workspace Administration: Roles and Permissions,Administration,Educational
2024-01-07,Sunday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2024-01-08,Monday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2024-01-09,Tuesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2024-01-10,Wednesday,Outbound Access Protection and Firewall Preview in Fabric,Feature Release,Milestone
2024-01-11,Thursday,Fabric REST APIs: Automating Administration,DevOps,Educational
2024-01-12,Friday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2024-01-13,Saturday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2024-01-14,Sunday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2024-01-15,Monday,Migrating from Azure Synapse to Fabric,Migration,Educational
2024-01-16,Tuesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2024-01-17,Wednesday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2024-01-18,Thursday,Row-Level Security in Fabric Semantic Models,Security,Educational
2024-01-19,Friday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2024-01-20,Saturday,Cross-Fabric Notebook Connections and Environment Sharing,Feature Release,Milestone
