date,day_of_week,title,category,type
2024-09-23,Monday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2024-09-24,Tuesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2024-09-25,Wednesday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2024-09-26,Thursday,Power BI Composite Models with OneLake,Power BI,Educational
2024-09-27,Friday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2024-09-28,Saturday,Workspace Administration: Roles and Permissions,Administration,Educational
2024-09-29,Sunday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2024-09-30,Monday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2024-10-01,Tuesday,Microsoft Fabric October 2024 Feature Summary,Monthly Update,Milestone
2024-10-02,Wednesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2024-10-03,Thursday,Fabric REST APIs: Automating Administration,DevOps,Educational
2024-10-04,Friday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2024-10-05,Saturday,API for GraphQL with Service Principal Names,Feature Release,Milestone
2024-10-06,Sunday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2024-10-07,Monday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2024-10-08,Tuesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2024-10-09,Wednesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2024-10-10,Thursday,"Lakehouse: Sorting, Filtering, and Searching Data",Feature Release,Milestone
2024-10-11,Friday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2024-10-12,Saturday,Row-Level Security in Fabric Semantic Models,Security,Educational
2024-10-13,Sunday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2024-10-14,Monday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2024-10-15,Tuesday,DP-700 Fabric Data Engineer Certification Beta Launch,Announcement,Milestone
2024-10-16,Wednesday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2024-10-17,Thursday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2024-10-18,Friday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2024-10-19,Saturday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2024-10-20,Sunday,Visual Calculations Preview in Power BI,Feature Release,Milestone
2024-10-21,Monday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2024-10-22,Tuesday,Snowflake Mirroring in Fabric,Integration,Educational
2024-10-23,Wednesday,Spark Structured Streaming in Fabric,Advanced,Educational
2024-10-24,Thursday,Custom Connectors in Data Factory,Advanced,Educational
2024-10-25,Friday,Dynamic Format Strings for Measures GA,Feature Release,Milestone
2024-10-26,Saturday,Fabric Workload Development Kit,Advanced,Educational
2024-10-27,Sunday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2024-10-28,Monday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2024-10-29,Tuesday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2024-10-30,Wednesday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2024-10-31,Thursday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2024-11-01,Friday,Microsoft Fabric November 2024 Feature Summary,Monthly Update,Milestone
2024-11-02,Saturday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2024-11-03,Sunday,Top Fabric Community Resources for Developers,Community,Educational
2024-11-04,Monday,Fabric User Groups: Connecting with Peers,Community,Educational
2024-11-05,Tuesday,Contributing to Fabric Open Source Projects,Community,Educational
2024-11-06,Wednesday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2024-11-07,Thursday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2024-11-08,Friday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2024-11-09,Saturday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2024-11-10,Sunday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2024-11-11,Monday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2024-11-12,Tuesday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2024-11-13,Wednesday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2024-11-14,Thursday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2024-11-15,Friday,SQL Database in Microsoft Fabric: Ignite 2024 Announcement,Announcement,Milestone
2024-11-16,Saturday,Database Mirroring: Simplifying SQL Integration,Feature Release,Milestone
2024-11-17,Sunday,FedRAMP Certification for Microsoft Fabric,Announcement,Milestone
2024-11-18,Monday,Copilot in Power BI Mobile Apps Preview,Feature Release,Milestone
2024-11-19,Tuesday,Set Alert with Activator Now Generally Available,Feature Release,Milestone
2024-11-20,Wednesday,Metric Sets Preview: Advanced Metric Management,Feature Release,Milestone
2024-11-21,Thursday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2024-11-22,Friday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2024-11-23,Saturday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2024-11-24,Sunday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2024-11-25,Monday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2024-11-26,Tuesday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2024-11-27,Wednesday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2024-11-28,Thursday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2024-11-29,Friday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2024-11-30,Saturday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2024-12-01,Sunday,Microsoft Fabric December 2024 Feature Summary,Monthly Update,Milestone
2024-12-02,Monday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2024-12-03,Tuesday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2024-12-04,Wednesday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2024-12-05,Thursday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2024-12-06,Friday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2024-12-07,Saturday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2024-12-08,Sunday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2024-12-09,Monday,Power BI Composite Models with OneLake,Power BI,Educational
2024-12-10,Tuesday,SQL Database Series: Security Deep Dive,Feature Release,Milestone
2024-12-11,Wednesday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2024-12-12,Thursday,Workspace Administration: Roles and Permissions,Administration,Educational
2024-12-13,Friday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2024-12-14,Saturday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2024-12-15,Sunday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2024-12-16,Monday,Fabric REST APIs: Automating Administration,DevOps,Educational
2024-12-17,Tuesday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2024-12-18,Wednesday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2024-12-19,Thursday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2024-12-20,Friday,Migrating from Azure Synapse to Fabric,Migration,Educational
2024-12-21,Saturday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2024-12-22,Sunday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2024-12-23,Monday,Row-Level Security in Fabric Semantic Models,Security,Educational
2024-12-24,Tuesday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2024-12-25,Wednesday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2024-12-26,Thursday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2024-12-27,Friday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2024-12-28,Saturday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2024-12-29,Sunday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2024-12-30,Monday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2024-12-31,Tuesday,Snowflake Mirroring in Fabric,Integration,Educational
2025-01-01,Wednesday,Microsoft Fabric January 2025 Feature Summary,Monthly Update,Milestone
2025-01-02,Thursday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-01-03,Friday,Custom Connectors in Data Factory,Advanced,Educational
2025-01-04,Saturday,Fabric Workload Development Kit,Advanced,Educational
2025-01-05,Sunday,Python Notebook Native Support Preview,Feature Release,Milestone
2025-01-06,Monday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-01-07,Tuesday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-01-08,Wednesday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-01-09,Thursday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-01-10,Friday,CI/CD for Dataflows Generally Available,Feature Release,Milestone
2025-01-11,Saturday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-01-12,Sunday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-01-13,Monday,Top Fabric Community Resources for Developers,Community,Educational
2025-01-14,Tuesday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-01-15,Wednesday,Mirroring CI/CD Support Preview,Feature Release,Milestone
2025-01-16,Thursday,Contributing to Fabric Open Source Projects,Community,Educational
2025-01-17,Friday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-01-18,Saturday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-01-19,Sunday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-01-20,Monday,Semantic Model Version History Preview,Feature Release,Milestone
2025-01-21,Tuesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-01-22,Wednesday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-01-23,Thursday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-01-24,Friday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-01-25,Saturday,TMDL Scripting Preview: Tabular Model Definition Language,Feature Release,Milestone
2025-01-26,Sunday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-01-27,Monday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-01-28,Tuesday,FabCon 2025 Announced: March 31 - April 2 in Las Vegas,Announcement,Milestone
2025-01-29,Wednesday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-01-30,Thursday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-01-31,Friday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-02-01,Saturday,Microsoft Fabric February 2025 Feature Summary,Monthly Update,Milestone
2025-02-02,Sunday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-02-03,Monday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-02-04,Tuesday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-02-05,Wednesday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-02-06,Thursday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-02-07,Friday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-02-08,Saturday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-02-09,Sunday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-02-10,Monday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-02-11,Tuesday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-02-12,Wednesday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-02-13,Thursday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-02-14,Friday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-02-15,Saturday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-02-16,Sunday,Power BI Composite Models with OneLake,Power BI,Educational
2025-02-17,Monday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-02-18,Tuesday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-02-19,Wednesday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-02-20,Thursday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-02-21,Friday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-02-22,Saturday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-02-23,Sunday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-02-24,Monday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-02-25,Tuesday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-02-26,Wednesday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-02-27,Thursday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-02-28,Friday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-03-01,Saturday,Microsoft Fabric March 2025 Feature Summary,Monthly Update,Milestone
2025-03-02,Sunday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-03-03,Monday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-03-04,Tuesday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-03-05,Wednesday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-03-06,Thursday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-03-07,Friday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-03-08,Saturday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-03-09,Sunday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-03-10,Monday,Snowflake Mirroring in Fabric,Integration,Educational
2025-03-11,Tuesday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-03-12,Wednesday,Custom Connectors in Data Factory,Advanced,Educational
2025-03-13,Thursday,Fabric Workload Development Kit,Advanced,Educational
2025-03-14,Friday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-03-15,Saturday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-03-16,Sunday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-03-17,Monday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-03-18,Tuesday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
2025-03-19,Wednesday,Fabric Certification Study Plan: 30-Day Guide,Certification,Educational
2025-03-20,Thursday,Top Fabric Community Resources for Developers,Community,Educational
2025-03-21,Friday,Fabric User Groups: Connecting with Peers,Community,Educational
2025-03-22,Saturday,Contributing to Fabric Open Source Projects,Community,Educational
2025-03-23,Sunday,Troubleshooting Spark Job Failures in Fabric,Troubleshooting,Educational
2025-03-24,Monday,Debugging Pipeline Errors in Data Factory,Troubleshooting,Educational
2025-03-25,Tuesday,Performance Diagnostics for Slow Queries,Troubleshooting,Educational
2025-03-26,Wednesday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2025-03-27,Thursday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2025-03-28,Friday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2025-03-29,Saturday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2025-03-30,Sunday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2025-03-31,Monday,FabCon 2025 Day 1: Copilot and AI Now Available for All Paid SKUs,Announcement,Milestone
2025-04-01,Tuesday,FabCon 2025 Day 2: OneLake Security Unified Access Control,Announcement,Milestone
2025-04-02,Wednesday,FabCon 2025 Day 3: Azure AI Foundry Agentic AI Integration,Announcement,Milestone
2025-04-03,Thursday,FabCon 2025 Recap: Azure Key Vault in Data Factory,Feature Release,Milestone
2025-04-04,Friday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2025-04-05,Saturday,Migration Assistant for Fabric Data Warehouse Preview,Feature Release,Milestone
2025-04-06,Sunday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2025-04-07,Monday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2025-04-08,Tuesday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2025-04-09,Wednesday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2025-04-10,Thursday,Power BI DataViz World Championship Winners,Announcement,Milestone
2025-04-11,Friday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2025-04-12,Saturday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2025-04-13,Sunday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2025-04-14,Monday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2025-04-15,Tuesday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2025-04-16,Wednesday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2025-04-17,Thursday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2025-04-18,Friday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2025-04-19,Saturday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2025-04-20,Sunday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2025-04-21,Monday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2025-04-22,Tuesday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2025-04-23,Wednesday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2025-04-24,Thursday,Power BI Composite Models with OneLake,Power BI,Educational
2025-04-25,Friday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2025-04-26,Saturday,Workspace Administration: Roles and Permissions,Administration,Educational
2025-04-27,Sunday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2025-04-28,Monday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2025-04-29,Tuesday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2025-04-30,Wednesday,Fabric REST APIs: Automating Administration,DevOps,Educational
2025-05-01,Thursday,Microsoft Fabric May 2025 Feature Summary,Monthly Update,Milestone
2025-05-02,Friday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2025-05-03,Saturday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2025-05-04,Sunday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2025-05-05,Monday,Migrating from Azure Synapse to Fabric,Migration,Educational
2025-05-06,Tuesday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
2025-05-07,Wednesday,Azure Data Factory to Fabric Data Factory Migration,Migration,Educational
2025-05-08,Thursday,Row-Level Security in Fabric Semantic Models,Security,Educational
2025-05-09,Friday,Microsoft Purview with Fabric: Data Governance,Governance,Educational
2025-05-10,Saturday,Sensitivity Labels in Fabric: Information Protection,Security,Educational
2025-05-11,Sunday,"Fabric Medallion Architecture: Bronze, Silver, Gold",Best Practices,Educational
2025-05-12,Monday,Cost Optimization in Fabric: Capacity Planning,Best Practices,Educational
2025-05-13,Tuesday,Multi-Tenant Fabric Architectures,Best Practices,Educational
2025-05-14,Wednesday,Azure Data Lake Storage Gen2 with Fabric,Integration,Educational
2025-05-15,Thursday,Databricks Unity Catalog and Fabric Shortcuts,Integration,Educational
2025-05-16,Friday,Snowflake Mirroring in Fabric,Integration,Educational
2025-05-17,Saturday,Spark Structured Streaming in Fabric,Advanced,Educational
2025-05-18,Sunday,Custom Connectors in Data Factory,Advanced,Educational
2025-05-19,Monday,Build 2025: Fabric Roadmap Tool Introduction,Announcement,Milestone
2025-05-20,Tuesday,Build 2025: Translytical Workflows in Power BI,Announcement,Milestone
2025-05-21,Wednesday,Build 2025: Cosmos DB Integration Private Preview,Announcement,Milestone
2025-05-22,Thursday,Fabric Workload Development Kit,Advanced,Educational
2025-05-23,Friday,Tutorial: End-to-End Sales Analytics in Fabric,Tutorial,Educational
2025-05-24,Saturday,Tutorial: Real-Time IoT Dashboard in Fabric,Tutorial,Educational
2025-05-25,Sunday,Tutorial: Customer 360 with Fabric Data Science,Tutorial,Educational
2025-05-26,Monday,DP-600 Exam Guide: Fabric Analytics Engineer,Certification,Educational
2025-05-27,Tuesday,DP-700 Exam Guide: Fabric Data Engineer,Certification,Educational
